Date,Open,High,Low,Close,Adj Close,Volume
2022-06-07,4550.000000,4550.000000,4412.500000,4450.000000,4082.027100,59999400
2022-06-08,4475.000000,4500.000000,4425.000000,4500.000000,4127.892578,36033000
2022-06-09,4425.000000,4500.000000,4337.500000,4337.500000,3978.829834,104568600
2022-06-10,4237.500000,4250.000000,4125.000000,4150.000000,3806.834229,148581400
2022-06-13,4025.000000,4137.500000,3962.500000,4125.000000,3783.901611,168106400
2022-06-14,4137.500000,4200.000000,4075.000000,4137.500000,3795.367920,89451800
2022-06-15,4137.500000,4150.000000,4062.500000,4137.500000,3795.367920,50537200
2022-06-16,4200.000000,4237.500000,4125.000000,4125.000000,3783.901611,70161000
2022-06-17,4062.500000,4125.000000,4050.000000,4087.500000,3749.502441,85689800
2022-06-20,4100.000000,4112.500000,4025.000000,4062.500000,3726.569580,54511600
2022-06-21,4087.500000,4225.000000,4087.500000,4225.000000,3875.632568,55051400
2022-06-22,4212.500000,4225.000000,4062.500000,4075.000000,3738.036133,62430800
2022-06-23,4087.500000,4112.500000,4037.500000,4075.000000,3738.036133,48869800
2022-06-24,4075.000000,4100.000000,4050.000000,4075.000000,3738.036133,46945000
2022-06-27,4087.500000,4100.000000,4025.000000,4025.000000,3692.170654,43368800
2022-06-28,4012.500000,4087.500000,4000.000000,4037.500000,3703.636963,64516600
2022-06-29,4050.000000,4062.500000,3937.500000,4012.500000,3680.704102,80254600
2022-06-30,4012.500000,4025.000000,3925.000000,3925.000000,3600.439697,51193400
2022-07-01,3925.000000,3975.000000,3875.000000,3925.000000,3600.439697,47117800
2022-07-04,3862.500000,3875.000000,3700.000000,3825.000000,3508.708740,119435800
2022-07-05,3837.500000,3975.000000,3825.000000,3875.000000,3554.574219,44476000
2022-07-06,3825.000000,3850.000000,3750.000000,3825.000000,3508.708740,61698000
2022-07-07,3800.000000,3875.000000,3800.000000,3800.000000,3485.775879,53792800
2022-07-08,3837.500000,3862.500000,3775.000000,3800.000000,3485.775879,66599600
2022-07-11,3800.000000,3825.000000,3750.000000,3750.000000,3439.910400,38983600
2022-07-12,3750.000000,3812.500000,3712.500000,3725.000000,3416.977783,91270400
2022-07-13,3725.000000,3775.000000,3612.500000,3612.500000,3313.780518,70323600
2022-07-14,3612.500000,3700.000000,3575.000000,3637.500000,3336.713135,53467400
2022-07-15,3675.000000,3687.500000,3625.000000,3637.500000,3336.713135,91881600
2022-07-18,3637.500000,3712.500000,3637.500000,3662.500000,3359.645996,33885200
2022-07-19,3662.500000,3737.500000,3637.500000,3650.000000,3348.179443,52625000
2022-07-20,3712.500000,3862.500000,3700.000000,3837.500000,3520.175049,99752400
2022-07-21,3900.000000,3912.500000,3775.000000,3862.500000,3543.107910,91623800
2022-07-22,3875.000000,3900.000000,3825.000000,3850.000000,3531.641357,39950200
2022-07-25,3850.000000,3862.500000,3800.000000,3800.000000,3485.775879,22755600
2022-07-26,3825.000000,3875.000000,3812.500000,3837.500000,3520.175049,40742800
2022-07-27,3875.000000,3912.500000,3862.500000,3887.500000,3566.040527,61470200
2022-07-28,3925.000000,3975.000000,3912.500000,3912.500000,3588.973389,90037400
2022-07-29,3937.500000,3975.000000,3912.500000,3925.000000,3600.439697,96026000
2022-08-01,4050.000000,4050.000000,3975.000000,3975.000000,3646.305176,141365800
2022-08-02,3987.500000,4037.500000,3937.500000,4037.500000,3703.636963,61474600
2022-08-03,4050.000000,4062.500000,4000.000000,4062.500000,3726.569580,39764400
2022-08-04,4050.000000,4062.500000,3975.000000,4000.000000,3669.237793,71928200
2022-08-05,4012.500000,4137.500000,3987.500000,4125.000000,3783.901611,50346600
2022-08-08,4125.000000,4137.500000,4087.500000,4125.000000,3783.901611,26413800
2022-08-09,4137.500000,4250.000000,4125.000000,4225.000000,3875.632568,80592200
